variant,score_thr,n_warm_frames,kept_fraction_mean,kept_fraction_min,kept_fraction_max,corr_kept_fraction_recall
warm,0.25,735,0.7753408003826531,0.527587890625,0.881591796875,-0.07887610271325707
warm,0.3,721,0.7753039398404993,0.527587890625,0.881591796875,-0.1659937660615635
warm,0.35,717,0.775111412569735,0.527587890625,0.881591796875,-0.1726878613013324
warm,0.4,709,0.774827965223907,0.527587890625,0.881591796875,-0.16751494083629756
warm_compensated,0.25,735,0.7921526227678571,0.523681640625,0.884521484375,-0.14314020486522772
warm_compensated,0.3,721,0.7920108112647365,0.523681640625,0.884521484375,-0.1987311268817021
warm_compensated,0.35,717,0.7917820971713738,0.523681640625,0.884521484375,-0.18859024540156968
warm_compensated,0.4,709,0.7914450232501763,0.523681640625,0.884521484375,-0.16478061459862303
warm_range_adaptive,0.25,735,0.6932241842049319,0.425048828125,0.834228515625,-0.031917362807503694
warm_range_adaptive,0.3,721,0.6946444147668169,0.425048828125,0.834228515625,-0.07457862824579263
warm_range_adaptive,0.35,717,0.6945238951359832,0.425048828125,0.834228515625,-0.06204397354448352
warm_range_adaptive,0.4,709,0.6943603859970028,0.425048828125,0.834228515625,-0.0741391327249807
